Academic Year,Board No,Board,Language,School Type,Elementary Male,Elementary Female,Secondary Male,Secondary Female,Total Male,Total Female,Total Educators
2019-2020,B28010,Algoma DSB,English,Public,85.41,394.66,127.83,155.64,213.24,550.3,763.54
2019-2020,B67202,Algonquin and Lakeshore CDSB,English,Catholic,98.4,452.38,112.19,147.11,210.59,599.49,810.08
2019-2020,B66010,Avon Maitland DSB,English,Public,106.55,569.87,135.72,205.6,242.27,775.47,1017.74
2019-2020,B66001,Bluewater DSB,English,Public,125.26,720.46,121.58,165.24,246.84,885.7,1132.54
2019-2020,B67164,Brant Haldimand Norfolk CDSB,English,Catholic,73.52,406.02,92.33,136,165.85,542.02,707.87
2019-2020,B67008,Bruce-Grey CDSB,English,Catholic,28.5,198.87,56.5,58.3,85,257.17,342.17
2019-2020,B67172,CDSB of Eastern Ontario,English,Catholic,105.32,562.55,149.45,123.01,254.77,685.56,940.33
2019-2020,B66303,CS Viamonde,French,Public,182.81,650.22,109.08,116.02,291.89,766.24,1058.13
2019-2020,B67318,CS catholique MonAvenir,French,Catholic,177.11,864.1,162.56,197.49,339.67,1061.59,1401.26
2019-2020,B28118,CS public du Grand Nord de l'Ontario,French,Public,25.5,142.7,36.49,48.3,61.99,191,252.99
2019-2020,B28100,CSD du Nord-Est de l'Ontario,French,Public,18.18,148.33,31,41.76,49.18,190.09,239.27
2019-2020,B29114,CSDC Franco-Nord,French,Catholic,23.1,133.14,29.06,46.83,52.16,179.97,232.13
2019-2020,B67326,CSDC de l'Est ontarien,French,Catholic,90.4,532.85,95.83,130.61,186.23,663.46,849.69
2019-2020,B29130,CSDC des Aurores boréales,French,Catholic,15.12,64.3,10,10,0,0,96.86
2019-2020,B29106,CSDC des Grandes Rivières,French,Catholic,36.05,302.98,72.46,96.2,108.51,399.18,507.69
2019-2020,B67334,CSDC du Centre-Est de l'Ontario,French,Catholic,261.2,1218.72,207.66,275.04,468.86,1493.76,1962.62
2019-2020,B29122,CSDC du Nouvel-Ontario,French,Catholic,50,351.82,58.4,127.58,108.4,479.4,587.8
2019-2020,B67300,Conseil scolaire catholique Providence,French,Catholic,107.56,500.61,98.54,105.19,206.1,605.8,811.9
2019-2020,B66311,CÉP de l'Est de l'Ontario,French,Public,202.52,781.06,148.35,158.37,350.87,939.43,1290.3
2019-2020,B66150,DSB Niagara,English,Public,379.5,1386.25,379.3,429.33,758.8,1815.58,2574.38
2019-2020,B28002,DSB Ontario North East,English,Public,62.84,261.97,94.66,102.77,157.5,364.74,522.24
2019-2020,B67083,Dufferin-Peel CDSB,English,Catholic,478.8,2836.1,836.52,1241.01,1315.32,4077.11,5392.43
2019-2020,B67105,Durham CDSB,English,Catholic,142.85,885.12,191.09,269.43,333.94,1154.55,1488.49
2019-2020,B66060,Durham DSB,English,Public,594.7,2859.9,586,910.05,1180.7,3769.95,4950.65
2019-2020,B66168,Grand Erie DSB,English,Public,225.25,1018.5,242.77,319.35,468.02,1337.85,1805.87
2019-2020,B66028,Greater Essex County DSB,English,Public,331,1380,342.33,477.53,673.33,1857.53,2530.86
2019-2020,B67113,Halton CDSB,English,Catholic,190.8,1387.9,333.5,554.09,524.3,1941.99,2466.29
2019-2020,B66133,Halton DSB,English,Public,534.22,2628.12,529.98,712.8,1064.2,3340.92,4405.12
2019-2020,B67121,Hamilton-Wentworth CDSB,English,Catholic,251.5,1046.61,293.04,392.35,544.54,1438.96,1983.5
2019-2020,B66141,Hamilton-Wentworth DSB,English,Public,482.2,1975.37,441.8,522.02,924,2497.39,3421.39
2019-2020,B66222,Hastings & Prince Edward DSB,English,Public,131.94,579.36,141.81,195.39,273.75,774.75,1048.5
2019-2020,B67016,Huron Perth CDSB,English,Catholic,33,195.39,50.2,45.49,83.2,240.88,324.08
2019-2020,B29025,Huron-Superior CDSB,English,Catholic,48,213.54,23.67,41.57,71.67,255.11,326.78
2019-2020,B15148,James Bay Lowlands SSB,English,Public,0,0,11,10,11,0,0
2019-2020,B66079,Kawartha Pine Ridge DSB,English,Public,272.7,1368.03,283.83,350.55,556.53,1718.58,2275.11
2019-2020,B28045,Keewatin-Patricia DSB,English,Public,40.81,210.83,68.86,90.11,109.67,300.94,410.61
2019-2020,B29050,Kenora CDSB,English,Catholic,14.36,73.87,13.31,19.83,27.67,93.7,121.37
2019-2020,B28061,Lakehead DSB,English,Public,73.87,360.74,82.66,95.01,156.53,455.75,612.28
2019-2020,B66036,Lambton Kent DSB,English,Public,187.9,847,248.33,259.63,436.23,1106.63,1542.86
2019-2020,B66206,Limestone DSB,English,Public,179.46,711.2,182.28,253.06,361.74,964.26,1326
2019-2020,B67032,London District Catholic School Board,English,Catholic,143.5,801.98,211.67,276.04,355.17,1078.02,1433.19
2019-2020,B15199,Moose Factory Island DSAB,English,Public,10,17.99,0,0,0,17.99,0
2019-2020,B15202,Moosonee DSAB,English,Public,10,20,0,0,0,20,0
2019-2020,B28037,Near North DSB,English,Public,96.7,399.45,94.14,128.48,190.84,527.93,718.77
2019-2020,B67156,Niagara CDSB,English,Catholic,195,747.64,218.51,209.44,413.51,957.08,1370.59
2019-2020,B29017,Nipissing-Parry Sound CDSB,English,Catholic,18.7,129.9,30.6,32.67,49.3,162.57,211.87
2019-2020,B29009,Northeastern CDSB,English,Catholic,32.6,115.73,11.67,18,44.27,133.73,178
2019-2020,B29041,Northwest CDSB,English,Catholic,20.9,88.09,0,0,20.9,88.09,108.99
2019-2020,B67180,Ottawa CSB,English,Catholic,346.37,1834.8,341.84,584.12,688.21,2418.92,3107.13
2019-2020,B66184,Ottawa-Carleton DSB,English,Public,648.17,3223.48,718.05,983.66,1366.22,4207.14,5573.36
2019-2020,B66125,Peel DSB,English,Public,1311.43,6738.09,1055.6,1615.3,2367.03,8353.39,10720.42
2019-2020,B79910,Penetanguishene PSSB,English,Public,10,27.14,0,0,0,27.14,0
2019-2020,B67067,Peterborough Victoria Northumberland and Clarington CDSB,English,Catholic,115.5,577.15,138,169.59,253.5,746.74,1000.24
2019-2020,B28029,Rainbow DSB,English,Public,120.2,568.92,136.26,184.38,256.46,753.3,1009.76
2019-2020,B28053,Rainy River DSB,English,Public,21.5,121.01,37.6,38.92,59.1,159.93,219.03
2019-2020,B67199,Renfrew County CDSB,English,Catholic,34.91,232.43,34.05,42.56,68.96,274.99,343.95
2019-2020,B66214,Renfrew County DSB,English,Public,54.27,367.85,93.96,113.79,148.23,481.64,629.87
2019-2020,B66109,Simcoe County DSB,English,Public,479.11,2153.3,455.12,583.74,934.23,2737.04,3671.27
2019-2020,B67091,Simcoe Muskoka CDSB,English,Catholic,172.1,853.1,204.74,252.41,376.84,1105.51,1482.35
2019-2020,B67040,St Clair CDSB,English,Catholic,77,331.04,77,86.69,154,417.73,571.73
2019-2020,B29033,Sudbury CDSB,English,Catholic,44.63,269.4,58.74,80.81,103.37,350.21,453.58
2019-2020,B29076,Superior North CDSB,English,Catholic,11,70,0,0,11,70,81
2019-2020,B28070,Superior-Greenstone DSB,English,Public,15.2,66.2,34.64,36.8,49.84,103,152.84
2019-2020,B66044,Thames Valley DSB,English,Public,709.85,3271.95,737.04,934.84,1446.89,4206.79,5653.68
2019-2020,B29068,Thunder Bay CDSB,English,Catholic,69.9,337.68,73.33,78.19,143.23,415.87,559.1
2019-2020,B67059,Toronto CDSB,English,Catholic,858.17,3648.49,795.13,1207.71,1653.3,4856.2,6509.5
2019-2020,B66052,Toronto DSB,English,Public,2787.95,9945.79,1978.35,2884.73,4766.3,12830.52,17596.82
2019-2020,B66087,Trillium Lakelands DSB,English,Public,127,695.34,164.02,212.31,291.02,907.65,1198.67
2019-2020,B66192,Upper Canada DSB,English,Public,171.76,1076.13,257.01,333.71,428.77,1409.84,1838.61
2019-2020,B66117,Upper Grand DSB,English,Public,291,1372.1,325.93,421.75,616.93,1793.85,2410.78
2019-2020,B67148,Waterloo CDSB,English,Catholic,176.5,1014.69,199.94,270.63,376.44,1285.32,1661.76
2019-2020,B66176,Waterloo Region DSB,English,Public,559.26,2707.58,559.72,721.95,1118.98,3429.53,4548.51
2019-2020,B67130,Wellington CDSB,English,Catholic,65.19,332.13,61,100.84,126.19,432.97,559.16
2019-2020,B67024,Windsor-Essex CDSB,English,Catholic,182.1,702.9,208.11,273.92,390.21,976.82,1367.03
2019-2020,B67075,York CDSB,English,Catholic,299.1,2103.07,403.01,780.49,702.11,2883.56,3585.67
2019-2020,B66095,York Region DSB,English,Public,927.15,5236.89,1006.28,1688.64,1933.43,6925.53,8858.96
